Nombre de Estado;Estado para mapa;País;Año;Partido;Gobernador;Fecha
Querétaro;Querétaro;México;1932;PRI;Saturnino Osornio Ramírez;01/01/1932
Querétaro;Querétaro;México;1933;PRI;Saturnino Osornio Ramírez;01/01/1933
Querétaro;Querétaro;México;1934;PRI;Saturnino Osornio Ramírez;01/01/1934
Querétaro;Querétaro;México;1935;PRI;Saturnino Osornio Ramírez;01/01/1935
Querétaro;Querétaro;México;1936;PRI;Ramón Rodríguez Familiar;01/01/1936
Querétaro;Querétaro;México;1937;PRI;Ramón Rodríguez Familiar;01/01/1937
Querétaro;Querétaro;México;1938;PRI;Ramón Rodríguez Familiar;01/01/1938
Querétaro;Querétaro;México;1939;PRI;Ramón Rodríguez Familiar;01/01/1939
Querétaro;Querétaro;México;1940;PRI;Noradino Rubio Ortiz;01/01/1940
Querétaro;Querétaro;México;1941;PRI;Noradino Rubio Ortiz;01/01/1941
Querétaro;Querétaro;México;1942;PRI;Noradino Rubio Ortiz;01/01/1942
Querétaro;Querétaro;México;1943;PRI;Noradino Rubio Ortiz;01/01/1943
Querétaro;Querétaro;México;1944;PRI;Agapito Pozo Balbás;01/01/1944
Querétaro;Querétaro;México;1945;PRI;Agapito Pozo Balbás;01/01/1945
Querétaro;Querétaro;México;1946;PRI;Agapito Pozo Balbás;01/01/1946
Querétaro;Querétaro;México;1947;PRI;Agapito Pozo Balbás;01/01/1947
Querétaro;Querétaro;México;1948;PRI;Agapito Pozo Balbás;01/01/1948
Querétaro;Querétaro;México;1949;PRI;Agapito Pozo Balbás;01/01/1949
Querétaro;Querétaro;México;1950;PRI;Octavio Mondragon;01/01/1950
Querétaro;Querétaro;México;1951;PRI;Octavio Mondragon;01/01/1951
Querétaro;Querétaro;México;1952;PRI;Octavio Mondragon;01/01/1952
Querétaro;Querétaro;México;1953;PRI;Octavio Mondragon;01/01/1953
Querétaro;Querétaro;México;1954;PRI;Octavio Mondragon;01/01/1954
Querétaro;Querétaro;México;1955;PRI;Octavio Mondragon;01/01/1955
Querétaro;Querétaro;México;1956;PRI;Juan C. Gorraez;01/01/1956
Querétaro;Querétaro;México;1957;PRI;Juan C. Gorraez;01/01/1957
Querétaro;Querétaro;México;1958;PRI;Juan C. Gorraez;01/01/1958
Querétaro;Querétaro;México;1959;PRI;Juan C. Gorraez;01/01/1959
Querétaro;Querétaro;México;1960;PRI;Juan C. Gorraez;01/01/1960
Querétaro;Querétaro;México;1961;PRI;Juan C. Gorraez;01/01/1961
Querétaro;Querétaro;México;1962;PRI;Manuel González Cosío;01/01/1962
Querétaro;Querétaro;México;1963;PRI;Manuel González Cosío;01/01/1963
Querétaro;Querétaro;México;1964;PRI;Manuel González Cosío;01/01/1964
Querétaro;Querétaro;México;1965;PRI;Manuel González Cosío;01/01/1965
Querétaro;Querétaro;México;1966;PRI;Manuel González Cosío;01/01/1966
Querétaro;Querétaro;México;1967;PRI;Manuel González Cosío;01/01/1967
Querétaro;Querétaro;México;1968;PRI;Juventino Castro Sánchez;01/01/1968
Querétaro;Querétaro;México;1969;PRI;Juventino Castro Sánchez;01/01/1969
Querétaro;Querétaro;México;1970;PRI;Juventino Castro Sánchez;01/01/1970
Querétaro;Querétaro;México;1971;PRI;Juventino Castro Sánchez;01/01/1971
Querétaro;Querétaro;México;1972;PRI;Juventino Castro Sánchez;01/01/1972
Querétaro;Querétaro;México;1973;PRI;Juventino Castro Sánchez;01/01/1973
Querétaro;Querétaro;México;1974;PRI;Antonio Calzada Urquiza;01/01/1974
Querétaro;Querétaro;México;1975;PRI;Antonio Calzada Urquiza;01/01/1975
Querétaro;Querétaro;México;1976;PRI;Antonio Calzada Urquiza;01/01/1976
Querétaro;Querétaro;México;1977;PRI;Antonio Calzada Urquiza;01/01/1977
Querétaro;Querétaro;México;1978;PRI;Antonio Calzada Urquiza;01/01/1978
Querétaro;Querétaro;México;1979;PRI;Antonio Calzada Urquiza;01/01/1979
Querétaro;Querétaro;México;1980;PRI;Rafael Camacho Guzmán;01/01/1980
Querétaro;Querétaro;México;1981;PRI;Rafael Camacho Guzmán;01/01/1981
Querétaro;Querétaro;México;1982;PRI;Rafael Camacho Guzmán;01/01/1982
Querétaro;Querétaro;México;1983;PRI;Rafael Camacho Guzmán;01/01/1983
Querétaro;Querétaro;México;1984;PRI;Rafael Camacho Guzmán;01/01/1984
Querétaro;Querétaro;México;1985;PRI;Rafael Camacho Guzmán;01/01/1985
Querétaro;Querétaro;México;1986;PRI;Mariano Palacios Alcocer;01/01/1986
Querétaro;Querétaro;México;1987;PRI;Mariano Palacios Alcocer;01/01/1987
Querétaro;Querétaro;México;1988;PRI;Mariano Palacios Alcocer;01/01/1988
Querétaro;Querétaro;México;1989;PRI;Mariano Palacios Alcocer;01/01/1989
Querétaro;Querétaro;México;1990;PRI;Mariano Palacios Alcocer;01/01/1990
Querétaro;Querétaro;México;1991;PRI;Mariano Palacios Alcocer;01/01/1991
Querétaro;Querétaro;México;1992;PRI;Enrique Burgos García;01/01/1992
Querétaro;Querétaro;México;1993;PRI;Enrique Burgos García;01/01/1993
Querétaro;Querétaro;México;1994;PRI;Enrique Burgos García;01/01/1994
Querétaro;Querétaro;México;1995;PRI;Enrique Burgos García;01/01/1995
Querétaro;Querétaro;México;1996;PRI;Enrique Burgos García;01/01/1996
Querétaro;Querétaro;México;1997;PRI;Enrique Burgos García;01/01/1997
Querétaro;Querétaro;México;1998;PAN;Ignacio Loyola Vera;01/01/1998
Querétaro;Querétaro;México;1999;PAN;Ignacio Loyola Vera;01/01/1999
Querétaro;Querétaro;México;2000;PAN;Ignacio Loyola Vera;01/01/2000
Querétaro;Querétaro;México;2001;PAN;Ignacio Loyola Vera;01/01/2001
Querétaro;Querétaro;México;2002;PAN;Ignacio Loyola Vera;01/01/2002
Querétaro;Querétaro;México;2003;PAN;Ignacio Loyola Vera;01/01/2003
Querétaro;Querétaro;México;2004;PAN;Francisco Garrido Patrón;01/01/2004
Querétaro;Querétaro;México;2005;PAN;Francisco Garrido Patrón;01/01/2005
Querétaro;Querétaro;México;2006;PAN;Francisco Garrido Patrón;01/01/2006
Querétaro;Querétaro;México;2007;PAN;Francisco Garrido Patrón;01/01/2007
Querétaro;Querétaro;México;2008;PAN;Francisco Garrido Patrón;01/01/2008
Querétaro;Querétaro;México;2009;PAN;Francisco Garrido Patrón;01/01/2009
Querétaro;Querétaro;México;2010;PRI;José Calzada Rovirosa;01/01/2010
Querétaro;Querétaro;México;2011;PRI;José Calzada Rovirosa;01/01/2011
Querétaro;Querétaro;México;2012;PRI;José Calzada Rovirosa;01/01/2012
Querétaro;Querétaro;México;2013;PRI;José Calzada Rovirosa;01/01/2013
Querétaro;Querétaro;México;2014;PRI;José Calzada Rovirosa;01/01/2014
Querétaro;Querétaro;México;2015;PRI;José Calzada Rovirosa;01/01/2015
Querétaro;Querétaro;México;2016;PAN;Francisco Domínguez Servién;01/01/2016
Querétaro;Querétaro;México;2017;PAN;Francisco Domínguez Servién;01/01/2017
Querétaro;Querétaro;México;2018;PAN;Francisco Domínguez Servién;01/01/2018
Querétaro;Querétaro;México;2019;PAN;Francisco Domínguez Servién;01/01/2019
Querétaro;Querétaro;México;2020;PAN;Francisco Domínguez Servién;01/01/2020
Querétaro;Querétaro;México;2021;PAN;Francisco Domínguez Servién;01/01/2021
Baja California;Baja California;México;1933;PRI;Agustín Olachea;01/01/1933
Baja California;Baja California;México;1934;PRI;Agustín Olachea;01/01/1934
Baja California;Baja California;México;1935;PRI;Agustín Olachea;01/01/1935
Baja California;Baja California;México;1936;PRI;Gildardo Magaña;01/01/1936
Baja California;Baja California;México;1937;PRI;Rafael Navarro Cortina;01/01/1937
Baja California;Baja California;México;1938;PRI;Rodolfo Sánchez Taboada;01/01/1938
Baja California;Baja California;México;1939;PRI;Rodolfo Sánchez Taboada;01/01/1939
Baja California;Baja California;México;1940;PRI;Rodolfo Sánchez Taboada;01/01/1940
Baja California;Baja California;México;1941;PRI;Rodolfo Sánchez Taboada;01/01/1941
Baja California;Baja California;México;1942;PRI;Rodolfo Sánchez Taboada;01/01/1942
Baja California;Baja California;México;1943;PRI;Rodolfo Sánchez Taboada;01/01/1943
Baja California;Baja California;México;1944;PRI;Rodolfo Sánchez Taboada;01/01/1944
Baja California;Baja California;México;1945;PRI;Juan Felipe Rico Islas;01/01/1945
Baja California;Baja California;México;1946;PRI;Juan Felipe Rico Islas;01/01/1946
Baja California;Baja California;México;1947;PRI;Alberto Vega Alderete;01/01/1947
Baja California;Baja California;México;1948;PRI;Alfonso García González;01/01/1948
Baja California;Baja California;México;1949;PRI;Alfonso García González;01/01/1949
Baja California;Baja California;México;1950;PRI;Alfonso García González;01/01/1950
Baja California;Baja California;México;1951;PRI;Alfonso García González;01/01/1951
Baja California;Baja California;México;1952;PRI;Alfonso García González;01/01/1952
Baja California;Baja California;México;1953;PRI;Alfonso García González;01/01/1953
Baja California;Baja California;México;1954;PRI;Braulio Maldonado Sández;01/01/1954
Baja California;Baja California;México;1955;PRI;Braulio Maldonado Sández;01/01/1955
Baja California;Baja California;México;1956;PRI;Braulio Maldonado Sández;01/01/1956
Baja California;Baja California;México;1957;PRI;Braulio Maldonado Sández;01/01/1957
Baja California;Baja California;México;1958;PRI;Braulio Maldonado Sández;01/01/1958
Baja California;Baja California;México;1959;PRI;Braulio Maldonado Sández;01/01/1959
Baja California;Baja California;México;1960;PRI;Eligio Esquivel Méndez;01/01/1960
Baja California;Baja California;México;1961;PRI;Eligio Esquivel Méndez;01/01/1961
Baja California;Baja California;México;1962;PRI;Eligio Esquivel Méndez;01/01/1962
Baja California;Baja California;México;1963;PRI;Eligio Esquivel Méndez;01/01/1963
Baja California;Baja California;México;1964;PRI;Eligio Esquivel Méndez;01/01/1964
Baja California;Baja California;México;1965;PRI;Gustavo Aubanel Vallejo;01/01/1965
Baja California;Baja California;México;1966;PRI;Raúl Sánchez Díaz Martell;01/01/1966
Baja California;Baja California;México;1967;PRI;Raúl Sánchez Díaz Martell;01/01/1967
Baja California;Baja California;México;1968;PRI;Raúl Sánchez Díaz Martell;01/01/1968
Baja California;Baja California;México;1969;PRI;Raúl Sánchez Díaz Martell;01/01/1969
Baja California;Baja California;México;1970;PRI;Raúl Sánchez Díaz Martell;01/01/1970
Baja California;Baja California;México;1971;PRI;Raúl Sánchez Díaz Martell;01/01/1971
Baja California;Baja California;México;1972;PRI;Milton Castellanos Everardo;01/01/1972
Baja California;Baja California;México;1973;PRI;Milton Castellanos Everardo;01/01/1973
Baja California;Baja California;México;1974;PRI;Milton Castellanos Everardo;01/01/1974
Baja California;Baja California;México;1975;PRI;Milton Castellanos Everardo;01/01/1975
Baja California;Baja California;México;1976;PRI;Milton Castellanos Everardo;01/01/1976
Baja California;Baja California;México;1977;PRI;Milton Castellanos Everardo;01/01/1977
Baja California;Baja California;México;1978;PRI;Roberto de la Madrid Romandía;01/01/1978
Baja California;Baja California;México;1979;PRI;Roberto de la Madrid Romandía;01/01/1979
Baja California;Baja California;México;1980;PRI;Roberto de la Madrid Romandía;01/01/1980
Baja California;Baja California;México;1981;PRI;Roberto de la Madrid Romandía;01/01/1981
Baja California;Baja California;México;1982;PRI;Roberto de la Madrid Romandía;01/01/1982
Baja California;Baja California;México;1983;PRI;Roberto de la Madrid Romandía;01/01/1983
Baja California;Baja California;México;1984;PRI;Xicoténcatl Leyva Mortera;01/01/1984
Baja California;Baja California;México;1985;PRI;Xicoténcatl Leyva Mortera;01/01/1985
Baja California;Baja California;México;1986;PRI;Xicoténcatl Leyva Mortera;01/01/1986
Baja California;Baja California;México;1987;PRI;Xicoténcatl Leyva Mortera;01/01/1987
Baja California;Baja California;México;1988;PRI;Xicoténcatl Leyva Mortera;01/01/1988
Baja California;Baja California;México;1989;PRI;Xicoténcatl Leyva Mortera;01/01/1989
Baja California;Baja California;México;1990;PAN;Ernesto Ruffo Appel;01/01/1990
Baja California;Baja California;México;1991;PAN;Ernesto Ruffo Appel;01/01/1991
Baja California;Baja California;México;1992;PAN;Ernesto Ruffo Appel;01/01/1992
